Prolific ID (24 tecken);hap_a;hap_p;dis_a;dis_p;sle_a;sle_p;sad_a;sad_p;sur_a;sur_p;exc_a;exc_p;bor_a;bor_p;fea_a;fea_p;cal_a;cal_p;ang_a;ang_p;age;Sex;age_c
572a4416d7299f000e7b58a0;3;3;-3;-3;-3;-3;-3;-3;3;3;3;3;-2;-2;0;-2;0;0;2;-3;41;0;1
5aeb049a9ed37a0001ddde1a;1;3;2;-2;-3;-1;1;-3;3;0;3;1;-2;-1;2;-2;-1;2;2;-3;31;0;1
5b69c0b801287900016c1656;2;3;1;-3;-3;-2;-2;-3;3;2;3;2;-3;-2;2;-2;0;1;2;-3;20;0;0
5c449a3175d0ee000197f2ce;2;3;1;-3;-3;-1;-2;-3;3;0;3;1;-1;-2;0;-3;0;3;3;-3;34;0;1
5c49a6cd6d9ae80001a1b8af;2;2;3;-1;-3;0;0;-1;2;1;3;2;-3;-3;3;-2;0;0;3;-1;67;0;1
5cdb0cc54b2d0a00155b3bdc;3;3;2;-3;-3;-2;-1;-3;3;2;3;3;-3;-3;2;-3;-1;3;3;-3;25;0;0
5d3f3192df3f2b001928ca9a;2;3;3;-3;-3;-3;-2;-3;3;2;3;2;-3;-3;3;-3;-1;1;3;-3;62;0;1
5d4167cbfe8b66001abc9ec9;0;1;1;-2;-3;-2;-3;-3;1;0;1;1;-1;-2;0;-2;-1;1;2;-1;26;0;0
5d7a42caf0a2960016536deb;1;3;0;-1;-3;-1;0;-2;2;2;3;2;-1;-2;0;0;-1;0;0;-1;37;0;1
5d7cd7c3f89db5001abc199b;-1;1;-3;-3;-3;0;0;-3;3;0;3;0;0;0;3;-3;0;0;3;-3;54;0;1
5d9771297f090e00148bba83;1;3;2;-3;-3;-2;0;-3;3;1;3;0;-1;-1;1;-3;0;1;2;-3;49;0;1
5dcab1a8470f6277e8ff1229;3;3;-2;-3;-2;0;-2;-2;0;0;3;3;-1;-1;-1;-2;1;3;-3;-3;29;0;1
5df54e31b1fb053ced3ae301;3;3;-1;-3;-3;-1;-1;-2;3;1;3;0;-3;-3;3;-2;-2;1;3;-3;19;0;0
5e174295859d52000b6d46df;3;3;3;-3;-3;-1;0;-3;3;0;3;0;-3;-2;3;-2;-3;1;3;-2;27;0;0
5e283a9405e719000ac026ec;3;3;-1;-3;-2;-2;-1;-1;1;0;1;1;-2;-2;1;-2;-1;1;2;-3;25;0;0
5e471ebaaeb5331f6ec57335;2;3;1;-3;-3;-3;-3;-3;2;2;3;0;-1;-1;1;-2;0;0;2;-3;29;0;1
5e4d84057e832505f46cc45b;1;1;2;1;2;0;-1;-1;2;1;3;0;-1;-3;2;-3;-1;2;2;-3;24;0;0
5e504c5a736edf0840c55846;3;3;0;-3;-3;-1;-2;-3;3;0;3;2;-3;-3;2;-3;-2;2;2;-3;28;0;0
5e6f88ac12fd1f000cdf2403;3;3;3;-1;-3;-1;0;-3;2;0;3;0;-3;-3;3;-3;-2;1;3;-3;27;0;0
5e7f42d70c58d9616cd42171;2;3;1;-3;-3;-1;0;-2;3;1;3;3;-2;-3;3;1;1;1;3;-3;32;0;1
5e8b080870750d7a760328be;2;3;2;-3;-3;0;-2;-3;3;1;3;0;-3;-1;3;-3;-1;2;1;-2;21;0;0
5ea96dffa01cad04cfea50c3;2;2;-1;-3;-3;1;-3;-3;2;1;3;0;-1;-1;-1;-1;0;2;2;-1;33;0;1
5ead7c4983d0054338fe507c;2;3;3;-3;-3;-1;-2;-2;3;1;3;-1;-3;-3;3;-1;-1;2;3;-3;25;0;0
5eb9cd7890cdb110e681c8e4;3;1;3;1;-3;-2;-1;-1;2;1;3;-1;-2;-1;3;-3;-2;2;3;-3;34;0;1
5ec4fb44b3d603410041cc2d;3;3;3;-3;-3;-3;0;-3;1;0;3;1;0;-3;2;-2;0;0;3;-3;31;0;1
5ed911dc8e976d0ba07c3f17;2;3;1;-3;-3;0;-2;-2;3;0;3;0;-1;-3;3;-2;-1;2;3;-3;20;0;0
5efcddc1231bde0f4cd79c75;1;3;1;-3;-3;-1;-3;-3;3;0;3;1;-3;-3;2;-3;-1;2;3;-3;23;0;0
5f037a44524fe72a592a61a3;3;3;1;-3;-2;-2;-1;-3;2;0;3;0;-2;-1;2;-3;-2;1;3;-3;29;0;1
5f26e3b368e197478eae6b64;1;3;1;-2;-3;-1;-3;-3;2;0;3;0;-3;-1;3;-2;-2;2;1;-3;20;0;0
5f2b2e813c4c04557b61a6ec;2;3;-1;-3;-3;-1;-2;-2;2;2;3;1;-2;-2;2;-1;-2;1;2;-3;25;0;0
5f2b39296b363d566e8e4c1c;3;3;2;-3;-3;0;-1;-3;3;1;3;1;-2;-2;3;-3;-2;0;3;-3;29;0;1
5f47fd1ad8bdca27ba978764;1;3;-1;-2;-3;-1;0;-1;1;1;3;1;-2;0;0;-3;-1;1;2;-2;36;0;1
5f5873c2dff3f03e6607f202;3;3;-1;-3;-3;-2;-2;-3;2;0;3;0;-3;-3;1;-3;0;2;1;-3;42;0;1
5f6e83419dd5cb3c85325fc6;1;3;0;-3;-3;0;0;-3;2;0;3;0;-2;-2;2;-1;0;0;2;-1;65;0;1
601000c380f7d923c17143ef;2;3;2;-3;-3;-1;-2;-3;2;-1;3;0;-1;0;2;-3;-1;2;2;-2;23;0;0
601bcd840b84c55be447d0f6;3;3;-1;-3;-3;0;0;-3;3;1;3;1;-2;-2;3;-3;-2;2;2;-3;27;0;0
6020fb73d99fb8766400cb50;3;3;2;-3;-3;-1;-2;-2;2;0;3;0;-1;-1;3;-2;-2;2;2;-3;26;0;0
60215859bdc4230eaad272c4;2;2;-2;-2;-1;-1;-2;-3;3;3;3;2;0;0;-1;-2;0;2;-1;-3;50;0;1
6038f9464049ae34e139a698;2;3;1;-3;-2;0;-2;-1;1;0;2;-2;0;-1;2;-3;0;3;1;-3;40;0;1
608c366611b3e8bcc0f35d9e;2;2;2;-2;-3;-1;-3;-3;3;3;3;3;-2;-2;2;0;0;3;2;-1;35;0;1
608cfade2a4f32930faa5038;1;1;-2;-3;-3;0;-3;-1;0;2;2;0;-3;-1;-3;-3;0;3;-2;-3;36;0;1
6096719df0721b6ad77942a6;1;3;0;-3;-3;-1;-1;-3;2;1;3;-1;-1;-2;2;-3;-1;1;2;-3;24;0;0
60a3ca5d84b871fed9de1c50;1;3;2;-3;-3;0;0;-2;3;0;3;2;-1;1;1;0;-1;1;-1;-2;33;0;1
60afab6f70e9f52da543672e;0;1;0;3;3;-1;1;1;-1;1;-1;3;3;1;3;-1;2;2;3;1;18;0;0
60bf7b0cfd4b6833c35481a8;0;3;1;-3;-3;0;-2;-2;2;2;3;0;-3;-3;0;0;-3;0;2;-2;20;0;0
60c79a757954894151f9ea86;2;2;0;0;2;2;2;2;1;1;2;2;-1;-1;0;0;-1;-1;1;1;22;0;0
60d43c19bcdb54cad203eca9;1;3;2;-3;-3;-1;-1;-3;1;1;3;1;-1;-2;3;-3;-1;2;2;-3;32;0;1
60d43cd1ce1c4c399871ff65;2;2;2;-3;-3;0;-1;-2;2;0;3;1;-2;-1;2;-2;-2;2;3;-3;38;0;1
60e0153f9f2b0c5c02d1a892;3;3;3;-3;-3;0;-1;-2;2;1;3;0;-1;-1;3;-2;-1;1;1;-2;20;0;0
60e34722ddec9dcee82dce2e;2;3;1;-2;-3;-1;-1;-2;2;2;3;1;-2;-1;1;0;-1;0;2;-2;31;0;1
57a1fc7fbaec1b0001698f3c;2;2;0;-2;-3;0;0;-1;2;0;3;0;0;-1;1;0;0;2;2;-2;54;1;1
5806957b3c163200010bce61;1;3;0;-2;-2;0;-1;-1;3;2;3;1;-2;-2;1;-1;-1;1;0;-1;52;1;1
5a357946e7bc8000010a7bd0;-1;2;2;-2;-1;-2;-1;-3;2;1;2;-1;-2;-2;2;-2;-2;3;3;-3;22;1;0
5aaa473ec4327200010d7c5c;2;3;-2;-3;-3;0;-1;-2;0;0;3;0;-2;-1;1;0;-1;2;2;-3;24;1;0
5aeb0b5e3fa8560001b0ff6f;2;3;-1;-2;-3;-1;-1;-2;3;1;3;-1;-2;0;2;-3;1;1;2;-2;22;1;0
5b30bb6f975e260001e951c3;-1;0;2;-2;-3;0;0;-1;2;1;1;0;-2;-2;2;-2;-2;0;2;-2;38;1;1
5b4efc90baf6710001f113bc;2;3;0;-3;-3;0;-3;-3;3;1;3;1;-3;-2;1;-1;0;2;2;-3;21;1;0
5b832eb78f2da60001654cc9;2;3;1;-3;-3;0;0;-3;2;0;3;1;-2;-1;3;-2;-2;2;2;-3;20;1;0
5ba909c938803d00012708e0;2;3;1;-3;-3;-1;-2;-3;3;0;3;1;0;-3;1;-3;-1;2;2;-3;22;1;0
5c61cbf25434430001870681;2;2;0;-1;-3;-2;-2;-2;3;0;3;3;-2;-1;-1;-2;0;2;1;-2;25;1;0
5c86c14fa5b23d0001046192;2;0;-2;-3;-3;0;0;-3;3;1;3;0;-1;-2;0;0;-1;0;3;2;32;1;1
5d25d6c7e093be0001c85ca4;3;3;-2;-3;-3;-3;-2;-3;3;0;3;1;-3;-2;1;-3;0;0;3;-3;33;1;1
5d3ef88dbaf11000191edae4;2;2;1;-2;-2;0;-1;-1;3;3;2;2;-3;-1;2;-2;0;0;2;-3;24;1;0
5dac6a1a34761a0016fc0070;2;0;2;1;2;0;3;1;1;0;2;0;-1;0;1;0;3;1;0;-1;32;1;1
5dbc85caaf6b8e22460bd3c7;0;3;0;-3;-3;-2;-2;-3;3;0;3;2;-3;-3;2;-3;-3;2;2;-3;21;1;0
5dc3ebd9d0b86f2c8dc18c30;2;2;1;-3;-2;-1;0;-3;2;0;3;1;-1;-2;3;-2;-1;1;2;-2;29;1;1
5de020495d4f9709f6d3a19c;3;3;1;-3;-3;-1;-2;-3;3;0;3;2;-3;-1;3;-3;-3;3;3;-3;22;1;0
5dfc822839bcde9801aac17c;1;3;0;-2;-3;1;0;-1;3;0;3;1;-1;-2;2;-2;-1;0;1;-2;31;1;1
5e2ac2737916f010b330807f;2;3;2;-2;-3;0;1;-3;3;0;3;0;-3;-3;3;-3;-2;2;3;-3;35;1;1
5e2df2855e01ef3e5d01ab58;2;3;1;-2;-3;-1;-2;-3;2;0;3;0;-3;-2;2;-2;-1;2;2;-3;27;1;0
5e52c95496dbff2d6b7e3384;3;3;-3;-3;-3;-1;-1;-2;2;1;3;2;-2;-3;1;-2;0;1;2;-3;52;1;1
5e67ccea42e4d207817810ed;0;3;1;-3;-3;-1;-1;-2;1;0;3;0;-1;-1;2;-2;-1;0;3;-3;28;1;0
5e6a65e0f2e93f016351c9fb;1;3;0;-2;-3;-2;0;-3;1;1;3;-2;-2;-2;1;-2;-1;1;2;-2;32;1;1
5eb34423f042f513a74ac306;1;1;0;-3;-3;0;-1;-2;1;1;3;1;-3;-3;2;1;-1;3;3;-3;30;1;1
5eb90e71fdb7eb00095c2c88;2;3;0;-3;-3;0;-2;-3;2;0;3;0;-2;-1;2;-2;-2;2;1;-2;30;1;1
5ec39b9e91d65a0009fc9be5;2;3;-1;-3;-3;0;-1;-3;3;0;3;0;-2;-2;3;-3;-2;0;3;-2;33;1;1
5ecec1fcb63c142b6046b59a;2;3;1;-3;-3;-1;-1;-2;2;2;3;1;-2;-2;2;-2;-2;1;2;-3;30;1;1
5eea7ace104faf1291b64eae;2;2;0;-1;-1;0;-1;0;-1;-1;1;2;-1;-1;-1;-1;0;1;-1;-1;29;1;1
5f14a4a8ebc35e3c413dd095;0;1;2;-3;-3;-3;1;-3;3;-1;3;-2;-3;-3;1;-3;-2;0;3;-3;21;1;0
5f1fc5b5f0adf01ed9d74ba1;3;1;1;0;-1;2;-3;-3;-1;-1;-1;0;-2;-1;1;1;0;0;-1;-1;29;1;1
5f2931793d54ec2fd7348c75;-1;3;2;2;-3;0;0;2;2;0;3;-1;-2;1;3;1;-1;2;3;2;44;1;1
5f361f402a9f8265b5352e5a;1;3;2;-3;-3;0;0;-3;2;0;3;1;-1;-1;2;-1;-1;3;2;-1;31;1;1
5fbf7f881c172a262208e312;1;3;-1;-3;-3;-1;-2;-3;2;0;3;0;-3;-2;2;-1;-2;2;2;-3;26;1;0
5fccc65b945149b3984259f4;1;3;-1;-2;-3;-1;-2;-3;3;0;3;0;-2;-2;2;-2;-1;2;2;-3;24;1;0
5fdabe990d7f575823dd3ecb;1;2;-1;-1;-2;-1;-2;-2;2;2;2;2;-2;-2;0;0;1;2;2;-1;28;1;0
5fec81b0e7417ae06c70a976;1;3;-1;-3;-3;0;-2;-3;3;1;3;0;-2;-2;0;-3;-2;0;-1;-3;19;1;0
5ff73193a8025236ba656dd8;2;3;0;-2;-3;0;-1;-2;0;0;3;0;-2;-1;0;-1;0;0;2;-2;25;1;0
5ffb067efb1a5e0ea36166d4;-1;-2;-1;-2;0;-3;-3;-3;1;0;0;-1;0;0;-1;-1;3;3;-1;-1;27;1;0
602a1b114b1be962ecd9105c;2;3;0;-3;-3;0;0;-3;3;1;2;1;-1;-1;1;-1;-2;2;2;-2;33;1;1
603d31e09649cfb5ebf7eb68;1;3;2;-3;-2;0;-1;-2;2;0;3;1;-2;-1;2;-2;-2;2;3;-3;29;1;1
604d3eca0e18ba7ebd925394;1;3;2;-3;-3;0;-2;-3;2;0;3;1;-2;-2;2;-2;-2;2;3;-2;53;1;1
6065adb7bdce327cce097939;2;1;1;2;-3;-1;-1;-2;0;0;3;1;-1;-3;2;1;2;-1;2;-1;37;1;1
606c4bcf565a42d79d82a391;2;2;0;-3;-3;0;-1;-3;1;1;3;1;-2;-1;1;-3;-2;1;2;-3;23;1;0
606e049ec4f419bf09a43a00;-1;-1;-1;-2;0;-1;-2;-2;1;1;1;2;-1;-1;-2;-2;2;1;-1;-2;19;1;0
60919ea08808efa7d22ae88a;1;3;1;-2;-3;-1;-1;-2;2;1;3;1;-2;-2;1;-3;0;1;3;-3;27;1;0
60a433db305276b4855fcb41;2;3;2;-3;-2;-1;-1;-2;3;0;3;1;-2;-2;3;-1;-2;1;2;-3;18;1;0
60c316f19c355f0ad4017c4d;3;3;0;-3;-3;0;0;-3;1;0;3;2;0;-3;3;-2;0;1;0;-2;29;1;1
60c60b19111ea4820fe36b4e;2;-2;-3;-2;-3;-2;-2;-2;-3;-2;1;-2;-3;-3;0;-2;-1;-2;2;-2;31;1;1
60c7ae1334209f97477d1ec8;2;2;1;-3;-3;-3;-1;-2;3;0;3;0;-3;-3;2;-3;-1;1;3;-3;22;1;0
60cf97a2781caedb46707145;1;3;2;-3;-3;0;0;-3;3;0;3;0;-3;-3;3;-3;-2;2;3;-3;40;1;1